NPI,PharmAffil_id,PharmaName,Address1,City,State,PostalCode,Lat,lng,PSAOName,PharmacyChain,MegaChainName
1720009004,9000044,WINN DIXIE,10 MCFARLAND BLVD,NORTHPORT,AL,35476-3348,33.2372,-87.5529,REG CHAIN,WINN DIXIE PHARMACY,REG CHAIN
1336155910,9000037,Walgreens,1640 R ST,MERCED,CA,95340-4527,37.3038,-120.4922,MEGA CHAIN,WALGREENS,WALGREENS
1821003039,9000037,Walgreens,1010 MAPLE AVE,LISLE,IL,60532-2329,41.7868,-88.0715,MEGA CHAIN,WALGREENS,WALGREENS
1821003807,9000037,Walgreens,3540 N PEARL ST,TACOMA,WA,98407-2607,47.2813,-122.5166,MEGA CHAIN,WALGREENS,WALGREENS
1114442795,9000037,WALGREENS,120 CURRY ST NE,PELHAM,GA,31779-1311,31.1293,-84.1515,MEGA CHAIN,WALGREENS,WALGREENS
1265453575,9000044,WINN DIXIE,3621 US HWY 231 N,PANAMA CITY BEACH,FL,32404-0000,30.2144,-85.6062,REG CHAIN,WINN DIXIE PHARMACY,REG CHAIN
1821003997,9000037,Walgreens,1074 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,02904-4104,41.8681,-71.4255,MEGA CHAIN,WALGREENS,WALGREENS
1306851357,9000037,Walgreens,6895 GRIGGS RD,HOUSTON,TX,77023-4316,29.7142,-95.2957,MEGA CHAIN,WALGREENS,WALGREENS
1467467456,9000037,Walgreens,2521 MAIN ST,VANCOUVER,WA,98660-2649,45.6398,-122.6707,MEGA CHAIN,WALGREENS,WALGREENS
1841716263,9000037,Walgreens,2152 SHERWOOD FOREST BOULEVARD,BATON ROUGE,LA,70816-8327,30.4333,-91.0576,MEGA CHAIN,WALGREENS,WALGREENS
1972518124,9000037,Walgreens,295 S US HIGHWAY 45,GRAYSLAKE,IL,60030-2205,42.3401,-88.0038,MEGA CHAIN,WALGREENS,WALGREENS
1578580981,9000057,WALMART PHARMACY,1830 US HIGHWAY 82 W,TIFTON,GA,31793-8164,31.4424,-83.5437,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1285649236,9000037,Walgreens,1725 W MAIN ST,SALEM,VA,24153-3117,37.2892,-80.0864,MEGA CHAIN,WALGREENS,WALGREENS
1477568640,9000037,Walgreens,705 1ST ST S,WINTER HAVEN,FL,33880-3602,28.0145,-81.7270,MEGA CHAIN,WALGREENS,WALGREENS
1578578605,9000037,Walgreens,3455 MANN RD,INDIANAPOLIS,IN,46221-2337,39.7133,-86.2380,MEGA CHAIN,WALGREENS,WALGREENS
1023025103,9000037,Walgreens,12650 INTERNATIONAL DR S,ORLANDO,FL,32821-6942,28.3854,-81.4862,MEGA CHAIN,WALGREENS,WALGREENS
1558377945,9000037,Walgreens,1620 N 59TH AVE,PHOENIX,AZ,85035-4985,33.4666,-112.1871,MEGA CHAIN,WALGREENS,WALGREENS
1063609568,9000037,Walgreens,7929 KIRBY DR,HOUSTON,TX,77054-1701,29.6933,-95.4128,MEGA CHAIN,WALGREENS,WALGREENS
1184641425,9000057,WALMART PHARMACY,5955 ZEBULON RD,MACON,GA,31210-2030,32.8804,-83.7604,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1942726799,9000037,Rite Aid,236 MAIN ST,NEW PALTZ,NY,12561-0000,41.7432,-74.0738,MEGA CHAIN,WALGREENS,WALGREENS
1801813118,9000057,WALMART PHARMACY,8650 MADISON BLVD,MADISON,AL,35758-1803,34.6831,-86.7413,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1518484559,9000037,Rite Aid,610 S Bennett St,Southern Pines,NC,28387-0000,35.1705,-79.4007,MEGA CHAIN,WALGREENS,WALGREENS
1366618480,9000037,Walgreens,4535 ROSWELL RD,ATLANTA,GA,30342-3100,33.8785,-84.3794,MEGA CHAIN,WALGREENS,WALGREENS
1679588578,9000037,Walgreens,3328 SHERWOOD WAY,SAN ANGELO,TX,76901-3529,31.4448,-100.4815,MEGA CHAIN,WALGREENS,WALGREENS
1174538300,9000037,Walgreens,399 N CONGRESS AVE,BOYNTON BEACH,FL,33426-3415,26.5313,-80.0912,MEGA CHAIN,WALGREENS,WALGREENS
1548275571,9000037,Walgreens,600 W KARSCH BLVD,FARMINGTON,MO,63640-3342,37.7911,-90.4336,MEGA CHAIN,WALGREENS,WALGREENS
1801037775,9000037,Walgreens,9001 TWO NOTCH RD,COLUMBIA,SC,29223-5834,34.0907,-80.9273,MEGA CHAIN,WALGREENS,WALGREENS
1710401286,9000037,WALGREENS,1 FITZGERALD DR,MIDDLETOWN,NY,10940-3059,41.4559,-74.3960,MEGA CHAIN,WALGREENS,WALGREENS
1568749075,9000057,WALMART PHARMACY,2765 10TH AVE N,PALM SPRINGS,FL,33461-3185,26.6287,-80.0841,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1437164696,9000037,Walgreens,101 N MAIN ST,BELLE GLADE,FL,33430-2601,26.6867,-80.6671,MEGA CHAIN,WALGREENS,WALGREENS
